IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
185.239.85.166,8866,0,false,HKG,Asia Pacific,Hong Kong,46,0.32
141.11.77.125,24426,443,true,HKG,Asia Pacific,Hong Kong,141,0.25
103.145.61.192,23802,0,true,HKG,Asia Pacific,Hong Kong,79,0.23
103.148.72.147,1443,0,true,HKG,Asia Pacific,Hong Kong,96,0.21
141.11.77.158,27312,0,true,HKG,Asia Pacific,Hong Kong,110,0.17
43.135.95.17,443,443,true,HKG,Asia Pacific,Hong Kong,36,0.16
154.3.38.140,22387,80,false,HKG,Asia Pacific,Hong Kong,136,0.16
128.1.132.82,443,0,true,HKG,Asia Pacific,Hong Kong,303,0.12
141.11.79.224,65250,0,true,HKG,Asia Pacific,Hong Kong,139,0.11
45.207.11.69,8899,0,true,HKG,Asia Pacific,Hong Kong,42,0.10
154.204.60.218,29876,0,true,HKG,Asia Pacific,Hong Kong,114,0.07
219.76.13.167,443,443,true,HKG,Asia Pacific,Hong Kong,362,0.07
43.247.134.147,17043,0,true,HKG,Asia Pacific,Hong Kong,132,0.07
43.155.28.244,443,443,true,HKG,Asia Pacific,Hong Kong,51,0.06
157.254.32.25,32281,443,true,HKG,Asia Pacific,Hong Kong,38,0.01
34.96.172.212,80,0,false,HKG,Asia Pacific,Hong Kong,183,0.01
157.254.32.25,58711,443,true,HKG,Asia Pacific,Hong Kong,126,0.01
157.254.32.25,48026,443,true,HKG,Asia Pacific,Hong Kong,197,0.01
157.254.32.25,56787,443,true,HKG,Asia Pacific,Hong Kong,37,0.00
154.9.247.80,33665,0,true,HKG,Asia Pacific,Hong Kong,40,0.00
38.47.123.15,60999,80,false,HKG,Asia Pacific,Hong Kong,41,0.00
38.181.25.31,52001,0,true,HKG,Asia Pacific,Hong Kong,43,0.00
38.181.35.164,36350,0,true,HKG,Asia Pacific,Hong Kong,39,0.00
43.128.26.74,443,0,true,HKG,Asia Pacific,Hong Kong,54,0.00
